KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
34101,1,広島市中区,,0,,,142699,67660,75039,81602
341010430,2,広島市中区,白島北町,0,,,1969,837,1132,1160
341010440,2,広島市中区,白島中町,0,,,1210,565,645,660
341010450,2,広島市中区,白島九軒町,0,,,1408,642,766,797
341010460,2,広島市中区,東白島町,0,,,3918,1858,2060,2217
341010470,2,広島市中区,西白島町,0,,,2983,1387,1596,1876
341010480,2,広島市中区,幟町,0,,,1753,839,914,1168
341010490,2,広島市中区,上幟町,0,,,2625,1274,1351,1441
341010500,2,広島市中区,鉄砲町,0,,,645,320,325,459
341010510,2,広島市中区,八丁堀,0,,,653,376,277,474
341010520,2,広島市中区,上八丁堀,0,,,1676,794,882,830
341010530,2,広島市中区,橋本町,0,,,1203,521,682,720
341010540,2,広島市中区,基町,0,,,4104,1781,2323,2442
341010550,2,広島市中区,銀山町,0,,,837,422,415,588
341010560,2,広島市中区,弥生町,0,,,168,67,101,111
341010570,2,広島市中区,胡町,0,,,29,13,16,12
341010580,2,広島市中区,薬研堀,0,,,54,31,23,42
341010590,2,広島市中区,田中町,0,,,440,206,234,272
341010600,2,広島市中区,三川町,0,,,445,214,231,325
341010610,2,広島市中区,立町,0,,,28,14,14,22
341010620,2,広島市中区,袋町,0,,,482,227,255,300
341010630,2,広島市中区,中町,0,,,1052,454,598,633
341010640,3,広島市中区,紙屋町,0,,,71,29,42,34
34101064001,4,広島市中区,紙屋町一丁目,0,,,43,17,26,22
34101064002,4,広島市中区,紙屋町二丁目,0,,,28,12,16,12
341010650,3,広島市中区,大手町,0,,,5900,2760,3140,3964
34101065001,4,広島市中区,大手町一丁目,0,,,379,175,204,222
34101065002,4,広島市中区,大手町二丁目,0,,,523,261,262,390
34101065003,4,広島市中区,大手町三丁目,0,,,1793,866,927,1192
34101065004,4,広島市中区,大手町四丁目,0,,,750,327,423,545
34101065005,4,広島市中区,大手町五丁目,0,,,2455,1131,1324,1615
341010660,2,広島市中区,鶴見町,0,,,2335,1117,1218,1404
341010670,2,広島市中区,昭和町,0,,,1855,901,954,1168
341010680,2,広島市中区,宝町,0,,,1923,906,1017,1324
341010690,2,広島市中区,富士見町,0,,,1984,909,1075,1442
341010700,2,広島市中区,竹屋町,0,,,1244,567,677,879
341010710,2,広島市中区,小町,0,,,1688,808,880,1064
341010720,3,広島市中区,国泰寺町,0,,,2356,1030,1326,1458
34101072001,4,広島市中区,国泰寺町一丁目,0,,,1098,512,586,770
34101072002,4,広島市中区,国泰寺町二丁目,0,,,1258,518,740,688
341010730,2,広島市中区,平野町,0,,,2162,1026,1136,1080
341010740,2,広島市中区,南竹屋町,0,,,1203,545,658,733
341010750,3,広島市中区,千田町,0,,,4151,1898,2253,2321
34101075001,4,広島市中区,千田町一丁目,0,,,1297,563,734,772
34101075002,4,広島市中区,千田町二丁目,0,,,1094,495,599,602
34101075003,4,広島市中区,千田町三丁目,0,,,1760,840,920,947
341010760,3,広島市中区,東千田町,0,,,3529,1668,1861,1691
34101076001,4,広島市中区,東千田町一丁目,0,,,2660,1287,1373,1235
34101076002,4,広島市中区,東千田町二丁目,0,,,869,381,488,456
341010780,2,広島市中区,堀川町,0,,,43,21,22,22
341010790,2,広島市中区,流川町,0,,,74,34,40,46
341010800,2,広島市中区,新天地,0,,,12,5,7,6
341010810,2,広島市中区,本通,0,,,90,47,43,51
341010820,2,広島市中区,東平塚町,0,,,1449,741,708,1021
341010830,2,広島市中区,西平塚町,0,,,1332,564,768,788
341011140,2,広島市中区,南千田東町,0,,,471,215,256,273
341011150,2,広島市中区,南千田西町,0,,,986,447,539,531
341013010,3,広島市中区,十日市町,0,,,3672,1747,1925,2489
34101301001,4,広島市中区,十日市町一丁目,0,,,1426,669,757,902
34101301002,4,広島市中区,十日市町二丁目,0,,,2246,1078,1168,1587
341013020,2,広島市中区,西十日市町,0,,,1402,636,766,1061
341013040,2,広島市中区,寺町,0,,,418,199,219,226
341013050,2,広島市中区,猫屋町,0,,,1034,452,582,668
341013060,3,広島市中区,堺町,0,,,2169,1107,1062,1512
34101306001,4,広島市中区,堺町一丁目,0,,,1296,632,664,840
34101306002,4,広島市中区,堺町二丁目,0,,,873,475,398,672
341013070,2,広島市中区,榎町,0,,,1961,864,1097,1286
341013080,2,広島市中区,小網町,0,,,1273,628,645,813
341013110,2,広島市中区,広瀬町,0,,,951,432,519,588
341013120,2,広島市中区,広瀬北町,0,,,1475,713,762,871
341013130,2,広島市中区,河原町,0,,,2197,1031,1166,1492
341013140,2,広島市中区,土橋町,0,,,1286,596,690,779
341013150,3,広島市中区,本川町,0,,,1800,847,953,1254
34101315001,4,広島市中区,本川町一丁目,0,,,397,202,195,290
34101315002,4,広島市中区,本川町二丁目,0,,,834,376,458,567
34101315003,4,広島市中区,本川町三丁目,0,,,569,269,300,397
341013160,2,広島市中区,舟入町,0,,,1391,660,731,880
341013170,2,広島市中区,舟入本町,0,,,3554,1680,1874,2188
341013180,2,広島市中区,舟入中町,0,,,2859,1338,1521,1803
341013190,2,広島市中区,舟入幸町,0,,,2754,1247,1507,1507
341013200,2,広島市中区,舟入川口町,0,,,2063,1015,1048,1172
341013220,2,広島市中区,西川口町,0,,,1353,648,705,705
341013580,2,広島市中区,加古町,0,,,1565,696,869,811
341013590,2,広島市中区,吉島町,0,,,1737,1153,584,593
341013610,2,広島市中区,中島町,0,,,710,344,366,358
341013620,2,広島市中区,住吉町,0,,,2588,1216,1372,1650
341013630,2,広島市中区,羽衣町,0,,,1694,788,906,879
341014000,3,広島市中区,吉島東,0,,,4673,2210,2463,2059
34101400001,4,広島市中区,吉島東一丁目,0,,,2582,1215,1367,1187
34101400002,4,広島市中区,吉島東二丁目,0,,,1566,719,847,613
34101400003,4,広島市中区,吉島東三丁目,0,,,525,276,249,259
341014010,3,広島市中区,吉島西,0,,,4404,2120,2284,2063
34101401001,4,広島市中区,吉島西一丁目,0,,,1695,805,890,872
34101401002,4,広島市中区,吉島西二丁目,0,,,1564,755,809,686
34101401003,4,広島市中区,吉島西三丁目,0,,,1145,560,585,505
341014020,3,広島市中区,吉島新町,0,,,2495,1152,1343,1227
