KEY_CODE,CITYNAME,人口総数
11100,埼玉県 さいたま市,"26,705"
11101,埼玉県 さいたま市 西区,"1,179"
11102,埼玉県 さいたま市 北区,"2,499"
11103,埼玉県 さいたま市 大宮区,"2,888"
11104,埼玉県 さいたま市 見沼区,"3,111"
11105,埼玉県 さいたま市 中央区,"1,804"
11106,埼玉県 さいたま市 桜区,"2,699"
11107,埼玉県 さいたま市 浦和区,"3,403"
11108,埼玉県 さいたま市 南区,"4,966"
11109,埼玉県 さいたま市 緑区,"1,855"
11110,埼玉県 さいたま市 岩槻区,"2,301"
11201,埼玉県 川越市,"8,820"
11202,埼玉県 熊谷市,"3,679"
11203,埼玉県 川口市,"38,090"
11206,埼玉県 行田市,"1,723"
11207,埼玉県 秩父市,609
11208,埼玉県 所沢市,"6,064"
11209,埼玉県 飯能市,"1,083"
11210,埼玉県 加須市,"2,563"
11211,埼玉県 本庄市,"2,634"
11212,埼玉県 東松山市,"2,628"
11214,埼玉県 春日部市,"4,493"
11215,埼玉県 狭山市,"2,767"
11216,埼玉県 羽生市,"1,818"
11217,埼玉県 鴻巣市,"1,823"
11218,埼玉県 深谷市,"3,180"
11219,埼玉県 上尾市,"4,092"
11221,埼玉県 草加市,"8,057"
11222,埼玉県 越谷市,"7,128"
11223,埼玉県 蕨市,"7,455"
11224,埼玉県 戸田市,"7,338"
11225,埼玉県 入間市,"2,274"
11227,埼玉県 朝霞市,"3,972"
11228,埼玉県 志木市,"1,912"
11229,埼玉県 和光市,"2,273"
11230,埼玉県 新座市,"3,669"
11231,埼玉県 桶川市,914
11232,埼玉県 久喜市,"3,217"
11233,埼玉県 北本市,639
11234,埼玉県 八潮市,"3,726"
11235,埼玉県 富士見市,"2,713"
11237,埼玉県 三郷市,"5,029"
11238,埼玉県 蓮田市,669
11239,埼玉県 坂戸市,"2,775"
11240,埼玉県 幸手市,"1,135"
11241,埼玉県 鶴ヶ島市,"1,592"
11242,埼玉県 日高市,831
11243,埼玉県 吉川市,"1,783"
11245,埼玉県 ふじみ野市,"2,973"
11246,埼玉県 白岡市,694
11301,埼玉県 伊奈町,504
11324,埼玉県 三芳町,826
11326,埼玉県 毛呂山町,608
11327,埼玉県 越生町,143
11341,埼玉県 滑川町,568
11342,埼玉県 嵐山町,525
11343,埼玉県 小川町,307
11346,埼玉県 川島町,373
11347,埼玉県 吉見町,169
11348,埼玉県 鳩山町,138
11349,埼玉県 ときがわ町,184
11361,埼玉県 横瀬町,89
11362,埼玉県 皆野町,85
11363,埼玉県 長瀞町,27
11365,埼玉県 小鹿野町,120
11369,埼玉県 東秩父村,11
11381,埼玉県 美里町,170
11383,埼玉県 神川町,449
11385,埼玉県 上里町,"1,145"
11408,埼玉県 寄居町,571
11442,埼玉県 宮代町,447
11464,埼玉県 杉戸町,601
11465,埼玉県 松伏町,418
