罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,泉２丁目,2022-12-04,13,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,泉２丁目,不明,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,岩野木,2022-07-02,19,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,幸房,2022-06-20,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,新和４丁目,2022-07-31,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,新和４丁目,2022-09-11,19,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,新和４丁目,2022-11-25,12,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,新和４丁目,不明,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,花和田,2022-05-19,8,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,花和田,2022-08-12,9,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,花和田,2022-11-01,8,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,花和田,2022-11-17,16,その他,駐車（輪）場,65-69歳,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,花和田,2022-11-29,13,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,花和田,2022-12-13,8,その他,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦江１丁目,2022-05-14,17,一戸建住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦江１丁目,2022-05-26,0,その他,その他,10歳代,中学生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦江１丁目,2022-07-19,16,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦江１丁目,2022-10-06,8,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦江１丁目,2022-10-14,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦野１丁目,2022-12-29,9,一戸建住宅,その他,50歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,彦野１丁目,不明,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,谷口,2022-03-11,16,一戸建住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,谷口,2022-04-30,20,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,谷口,2022-06-04,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-02-04,8,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-02-18,16,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-04-06,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,70歳以上,その他,施錠した
